Time,AX,AY,AZ,GX,GY,GZ,Temp,,,,,spped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4897,1.65,8.57,-5.14,8.58,-80.14,6.79,18.3,,,33,,0.30016,41.65171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4930,0.99,9.56,-3.36,3.56,-29.37,1.56,18.29,,,32,,0.28281,41.93452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4962,1.33,9.28,-3.19,-6.15,-22.53,-2.15,18.29,,,32,,0.30592,42.24044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4994,1.06,9.53,-3.1,-13.36,-64.32,-1.5,18.29,,,33,,0.29696,42.5374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5027,0.43,9.56,-2.74,-15.08,-32.08,0.03,18.3,,,35,,0.31449,42.85189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5062,0.34,9.29,-2.34,-14.67,-31.76,3.71,18.3,,,33,,0.3346,43.18649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5095,-0.02,9.43,-2.02,-14.95,-24.82,9.33,18.29,,,32,,0.30657,43.49306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5127,0.54,9.28,-2.25,-18.43,-20.47,13.98,18.3,,,32,,0.30176,43.79482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5159,1.12,9.2,-2.43,-24.52,-37.4,21.48,18.29,,,33,,0.29696,44.09178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5192,3.31,7.81,-3.33,-29.15,-67.3,27.74,18.29,,,32,,0.3036,44.39538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5224,1.94,10.59,-2.75,-32.63,-194.72,39.53,18.29,,,32,,0.24992,44.6453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5256,1.87,8.83,-0.72,-23.88,-270.63,55.47,18.3,,,32,,0.33888,44.98418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5288,-0.47,9.54,-1.75,-2.14,-279.54,64.72,18.31,,,33,,0.28256,45.26674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5321,0.85,9.27,-1.16,17.6,-194.98,62.53,18.29,,,32,,0.31482,45.58156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5353,0.36,11.05,-3.15,33.37,-35.31,49.31,18.3,,,36,,0.29664,45.8782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5389,1.31,10.01,-3.1,37.18,-1.19,44.6,18.29,,,32,,0.3978,46.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5421,2.51,9.15,-2.04,40.85,9.76,41.16,18.3,,,32,,0.32032,46.59632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5453,3.74,8.89,-4.89,37.92,-23.79,39.15,18.3,,,33,,0.2928,46.88912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5486,1.33,10.25,-2.96,21.11,-47.8,25.57,18.3,,,32,,0.29337,47.18249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5518,1.54,10.16,-1.06,2.14,-44.73,-2.85,18.31,,,32,,0.328,47.51049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
